id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15576945.0,Liao,585.0,France,Female,42.0,7.0,0.0,2.0,1.0,1.0,129984.2,0.0
1,15627212.0,Lettiere,756.0,Germany,Female,52.0,7.0,133801.04,3.0,0.0,1.0,171453.62,1.0
2,15583076.0,Yermolayev,729.0,France,Female,41.0,2.0,0.0,2.0,1.0,0.0,171515.84,0.0
3,15794868.0,Chidubem,642.0,France,Male,37.0,5.0,0.0,2.0,1.0,1.0,97416.34,0.0
4,15626012.0,Lucchese,646.0,France,Male,43.0,4.0,0.0,1.0,1.0,0.0,55868.97,1.0
5,15783865.0,Chukwufumnanya,757.0,Spain,Male,27.0,8.0,0.0,1.0,1.0,1.0,182624.51,0.0
6,15796370.0,Ugochukwu,714.0,Germany,Male,44.0,7.0,79962.92,2.0,1.0,0.0,175795.87,0.0
7,15706464.0,T'ien,586.0,France,Female,35.0,9.0,0.0,2.0,1.0,0.0,72909.75,0.0
8,15579892.0,Cremonesi,684.0,France,Female,32.0,8.0,0.0,2.0,1.0,1.0,109626.09,0.0
9,15670481.0,Martin,714.0,Spain,Female,30.0,9.0,133656.95,1.0,1.0,0.0,117036.34,0.0
10,15777743.0,Ts'ui,633.0,France,Male,35.0,8.0,0.0,2.0,1.0,0.0,165035.17,0.0
11,15713463.0,Ch'eng,678.0,Germany,Male,69.0,2.0,109019.65,1.0,1.0,0.0,103792.53,0.0
12,15681705.0,DeRose,569.0,Spain,Female,40.0,8.0,0.0,2.0,1.0,1.0,73069.9,0.0
13,15768137.0,Chigozie,615.0,France,Male,49.0,4.0,0.0,1.0,0.0,0.0,170518.83,0.0
14,15570141.0,Hsia,707.0,France,Female,31.0,7.0,0.0,2.0,1.0,1.0,166677.35,0.0
15,15779059.0,Lo,757.0,France,Female,35.0,3.0,171913.87,1.0,1.0,1.0,145593.85,0.0
16,15681562.0,Tsao,789.0,France,Male,43.0,8.0,119027.28,1.0,1.0,0.0,48249.88,0.0
17,15611105.0,Nwabugwu,651.0,Spain,Male,28.0,0.0,0.0,2.0,1.0,0.0,170528.63,0.0
18,15722548.0,Cremonesi,619.0,France,Female,37.0,6.0,0.0,2.0,1.0,0.0,175072.47,0.0
19,15791326.0,Ts'ao,745.0,France,Female,56.0,6.0,0.0,3.0,1.0,0.0,177614.17,1.0
20,15778089.0,Iadanza,602.0,France,Male,34.0,6.0,0.0,2.0,1.0,0.0,80190.36,0.0
21,15683541.0,Kao,594.0,France,Male,39.0,4.0,0.0,1.0,1.0,0.0,112572.02,1.0
22,15743545.0,Folliero,595.0,Spain,Female,43.0,2.0,0.0,2.0,1.0,0.0,133086.45,0.0
23,15617252.0,Chiemezie,683.0,France,Male,37.0,2.0,0.0,2.0,1.0,0.0,141806.44,0.0
24,15782995.0,Chiu,688.0,Germany,Female,27.0,4.0,141434.36,1.0,0.0,1.0,142514.66,0.0
25,15749947.0,Lucchese,695.0,France,Female,32.0,9.0,127637.92,1.0,1.0,1.0,147040.25,0.0
26,15695585.0,Hsiao,667.0,Spain,Female,35.0,8.0,0.0,2.0,1.0,1.0,172586.89,0.0
27,15738884.0,Olisaemeka,739.0,Germany,Male,51.0,5.0,96674.55,1.0,1.0,0.0,164040.94,1.0
28,15773394.0,Ponomaryov,731.0,France,Male,41.0,1.0,0.0,2.0,1.0,1.0,136521.82,0.0
29,15581323.0,Kao,611.0,France,Male,24.0,5.0,0.0,1.0,1.0,0.0,120892.96,0.0
30,15671934.0,Gresswell,628.0,France,Male,71.0,4.0,0.0,1.0,1.0,1.0,137961.41,1.0
31,15665087.0,Nnaemeka,636.0,France,Female,39.0,2.0,0.0,2.0,1.0,1.0,149384.43,0.0
32,15697460.0,Tuan,602.0,Germany,Male,29.0,6.0,145984.92,2.0,1.0,0.0,134638.97,0.0
33,15579647.0,Genovese,558.0,Germany,Male,55.0,4.0,113690.81,1.0,1.0,0.0,48426.98,1.0
34,15775625.0,Ku,735.0,France,Female,33.0,2.0,124575.75,1.0,0.0,0.0,112333.22,1.0
35,15691823.0,Onwughara,752.0,Spain,Male,25.0,3.0,0.0,2.0,1.0,0.0,92797.23,0.0
36,15644765.0,Ch'in,755.0,France,Male,31.0,4.0,0.0,2.0,1.0,0.0,81753.92,0.0
37,15608845.0,Yermakov,762.0,Spain,Female,34.0,4.0,0.0,2.0,1.0,1.0,103726.71,0.0
38,15585067.0,Chidimma,687.0,France,Female,36.0,2.0,0.0,2.0,1.0,1.0,167984.72,0.0
39,15641640.0,Tung,724.0,Spain,Male,39.0,7.0,0.0,2.0,0.0,0.0,121189.3,0.0
40,15796724.0,Ch'ien,640.0,France,Female,43.0,4.0,0.0,2.0,1.0,1.0,84460.18,0.0
41,15806447.0,Chikezie,549.0,Spain,Female,33.0,6.0,0.0,2.0,1.0,1.0,58814.41,0.0
42,15746139.0,Ozerova,692.0,France,Male,43.0,8.0,0.0,1.0,0.0,1.0,120512.08,0.0
43,15672432.0,Baryshnikov,683.0,Spain,Male,40.0,5.0,0.0,2.0,1.0,1.0,92816.86,0.0
44,15588623.0,Maclean,592.0,France,Male,62.0,2.0,0.0,2.0,0.0,1.0,50454.8,0.0
45,15726494.0,Chinedum,753.0,France,Female,31.0,7.0,0.0,1.0,1.0,1.0,77511.45,0.0
46,15638487.0,Tuan,619.0,France,Female,35.0,9.0,118088.72,1.0,0.0,0.0,138380.11,0.0
47,15700627.0,Onio,593.0,France,Male,38.0,8.0,0.0,2.0,1.0,1.0,140136.1,0.0
48,15650538.0,Chinweuba,555.0,Germany,Female,62.0,4.0,121681.91,1.0,1.0,0.0,108411.66,1.0
49,15572461.0,Chigbogu,537.0,Germany,Male,31.0,1.0,84445.67,2.0,1.0,1.0,81310.1,0.0
50,15777923.0,Hsing,593.0,France,Female,33.0,2.0,0.0,1.0,1.0,1.0,92840.67,0.0
51,15762048.0,Lai,706.0,France,Female,31.0,7.0,0.0,2.0,1.0,0.0,130827.88,0.0
52,15723654.0,Ch'ang,558.0,France,Male,39.0,1.0,0.0,2.0,1.0,1.0,104982.39,0.0
53,15698028.0,Udegbulam,678.0,Spain,Female,42.0,1.0,0.0,2.0,1.0,1.0,70780.16,0.0
54,15617657.0,Lucciano,632.0,Spain,Male,32.0,7.0,0.0,2.0,0.0,1.0,108419.41,0.0
55,15749365.0,Maclean,642.0,Spain,Female,29.0,4.0,0.0,2.0,1.0,0.0,59864.96,0.0
56,15773789.0,Efremov,572.0,France,Female,41.0,6.0,0.0,2.0,1.0,1.0,148087.71,0.0
57,15629002.0,H?,644.0,France,Male,54.0,10.0,0.0,1.0,1.0,0.0,35418.87,1.0
58,15784491.0,Udegbunam,641.0,France,Female,33.0,5.0,105417.31,1.0,0.0,0.0,173586.63,0.0
59,15715117.0,Ting,619.0,France,Female,42.0,5.0,0.0,2.0,0.0,1.0,81299.09,0.0
60,15671345.0,Chiganu,710.0,France,Male,37.0,6.0,0.0,1.0,1.0,1.0,85412.54,0.0
61,15692718.0,Okeke,738.0,France,Female,33.0,9.0,0.0,2.0,0.0,0.0,131097.9,0.0
62,15792679.0,Azuka,584.0,France,Female,31.0,5.0,0.0,1.0,0.0,1.0,164864.67,1.0
63,15808760.0,Hsiao,790.0,France,Male,32.0,5.0,129826.61,1.0,1.0,0.0,143913.34,0.0
64,15674811.0,H?,569.0,France,Female,49.0,8.0,122028.65,1.0,1.0,0.0,137276.83,1.0
65,15630195.0,H?,599.0,Germany,Female,44.0,6.0,97382.53,2.0,1.0,1.0,138523.19,0.0
66,15654891.0,Maclean,682.0,France,Male,38.0,8.0,0.0,2.0,1.0,1.0,164018.98,0.0
67,15747000.0,Nwankwo,621.0,France,Female,40.0,9.0,0.0,2.0,1.0,1.0,100153.43,0.0
68,15631882.0,Ebelegbulam,588.0,Spain,Female,44.0,3.0,0.0,1.0,0.0,0.0,51387.1,0.0
69,15680112.0,Onyeoruru,619.0,Germany,Male,35.0,2.0,135842.89,2.0,1.0,0.0,145764.4,0.0
70,15613786.0,Ch'in,599.0,France,Male,39.0,2.0,0.0,2.0,1.0,1.0,143614.01,0.0
71,15746662.0,Tsao,756.0,Spain,Female,29.0,0.0,0.0,2.0,1.0,1.0,57553.02,0.0
72,15665811.0,Ngozichukwuka,707.0,France,Male,42.0,7.0,0.0,2.0,1.0,0.0,176580.13,0.0
73,15709222.0,Pagnotto,714.0,France,Male,35.0,3.0,0.0,2.0,0.0,1.0,61164.45,0.0
74,15591698.0,Lucciano,676.0,France,Male,41.0,1.0,0.0,2.0,1.0,0.0,72330.46,0.0
75,15725141.0,Ch'eng,677.0,Spain,Male,32.0,1.0,0.0,2.0,1.0,1.0,86022.09,0.0
76,15785819.0,Udinesi,613.0,France,Female,43.0,1.0,0.0,1.0,1.0,0.0,171413.66,1.0
77,15588923.0,Nworie,730.0,France,Female,36.0,1.0,0.0,2.0,0.0,0.0,113868.4,0.0
78,15648032.0,Hinton,596.0,France,Female,36.0,3.0,163548.13,1.0,1.0,0.0,28269.86,0.0
79,15607312.0,Uspenskaya,590.0,Spain,Female,35.0,10.0,0.0,2.0,1.0,1.0,187980.21,0.0
80,15800326.0,Chiekwugo,564.0,France,Male,29.0,1.0,0.0,2.0,0.0,1.0,131284.92,0.0
81,15785899.0,Chinweuba,683.0,France,Male,62.0,7.0,107720.64,1.0,0.0,1.0,164741.8,0.0
82,15799468.0,Chiang,682.0,France,Male,43.0,9.0,0.0,2.0,1.0,0.0,183569.25,0.0
83,15808846.0,Obidimkpa,748.0,France,Male,36.0,4.0,0.0,1.0,1.0,0.0,97614.87,0.0
84,15754537.0,Ch'en,521.0,France,Male,47.0,7.0,0.0,1.0,0.0,0.0,138399.67,1.0
85,15766450.0,Dann,579.0,Spain,Male,36.0,6.0,0.0,2.0,1.0,0.0,82522.61,0.0
86,15804064.0,Ginn,714.0,Spain,Female,34.0,6.0,0.0,1.0,1.0,0.0,149604.18,0.0
87,15692406.0,Hsing,554.0,Germany,Male,31.0,9.0,123544.88,2.0,1.0,1.0,160574.09,0.0
88,15794413.0,Scott,708.0,France,Female,35.0,1.0,0.0,2.0,1.0,1.0,86733.61,0.0
89,15572467.0,Dickson,567.0,France,Female,25.0,4.0,0.0,2.0,1.0,0.0,184524.74,0.0
90,15636572.0,Chinomso,704.0,Germany,Female,36.0,9.0,121092.47,1.0,1.0,0.0,4554.67,0.0
